_id,admin0pcode,end_date,project_donor_id,project_donor_name,start_date
62189a2e5fe2c737c6aec50a,ALL,,icco,Interchurch Organisation for development Cooperation,
62189a2e5fe2c737c6aec50d,ALL,,iom,International Organization for Migration (IOM),
62189a2e5fe2c737c6aec50b,ALL,,irc,International Rescue Committee (IRC),
62189a2e5fe2c737c6aec3fd,ALL,,irish_aid,IrishAid,
62189a2e5fe2c737c6aec53f,ALL,,aics,Italian Agency for Cooperation and Development,
62189a2e5fe2c737c6aec3fe,ALL,,italy,Italy,
62189a2e5fe2c737c6aec4d9,ALL,,japan_international_cooperation_agency,Japan International Cooperation Agency (JICA),
62189a2e5fe2c737c6aec400,ALL,,johanniter,Johanniter,
62189a2e5fe2c737c6aec401,ALL,,khalifa_bin_zayed_al_nahyan_charity_foundation,Khalifa bin Zayed Al Nahyan Charity Foundation,
62189a2e5fe2c737c6aec57a,ALL,,korea_international_cooperation_agency,Korea International Cooperation Agency,
62189a2e5fe2c737c6aec402,ALL,,mukti,Mukti,
62189a2e5fe2c737c6aec4dd,ALL,,norwegian_ministry_of_foreign_affairs,Norwegian Ministry of Foreign Affairs,
62189a2e5fe2c737c6aec547,ALL,,norad,Norweigian Agency for Development Cooperation,
62189a2e5fe2c737c6aec405,ALL,,ocha,OCHA,
62189a2e5fe2c737c6aec406,ALL,,oxfam,Oxfam,
62189a2e5fe2c737c6aec472,ALL,,plan_internacional,Plan Internacional,
62189a2e5fe2c737c6aec407,ALL,,qatar_red_crescent,Qatar Red Crescent,
62189a2e5fe2c737c6aec408,ALL,,republic_of_korea,Republic of Korea,
62189a2e5fe2c737c6aec409,ALL,,sdc,SDC,
62189a2e5fe2c737c6aec40a,ALL,,sida,SIDA,
62189a2e5fe2c737c6aec40c,ALL,,solidar_suisse,Solidar Suisse,
62189a2e5fe2c737c6aec40d,ALL,,start_network_global_humanitarian_assistance,Start Network Global Humanitarian Assistance,
