name
AFN
AUD 
BDT 
CAD 
CHF 
DDk 
EUR 
GBP 
NOK 
SEK 
USD 
AFG 
Boxes 
Calls 
Camels 
Cattle 
CBSs 
Centers 
Classroom Kits 
Donkeys 
Doze 
Drums 
Equians 
Facilities
Goats 
Health Extension Workers 
HEB 
Houses 
KG 
Kits 
Litres 
Livestock 
m2 
m3
Man Days 
Medics 
Metric Tonnes 
MNT 
Oil 
PAC 
People
Pieces 
Quantin 
Rice 
RUSF 
Salt 
School Kits 
Schools
Seeds 
Sessions
Sheep 
Structures
Tablets 
TCs 
Teachers 
Tents 
Units
USD 
Wheat 
Wheat Flour 
