modility_type,mpc_mechanism_type_id,mpc_mechanism_type_name
cash,hawala,Hawala
distribution,distribution,Distribution
cash,cash_in_envelope,Cash in Envelope
voucher,e_voucher,E Voucher
voucher,paper_vouchers,Paper Vouchers
cash,mobile_cash,Mobile Cash
voucher,mobile_vouchers,Mobile Vouchers
voucher,commodity_vouchers,Commodity Vouchers
voucher,token_system,Direct Cash Token System
cash,e_cash,Electronic Card - Cash
voucher,value_vouchers,Value Vouchers - Cash
cash,bank,Bank
