_id,cluster_id,stock_item_name
60c003008e856402218b5e93,wash,"WASH: Metal Poles (120mm - 140mm diameter x 2,000mm length )"
60c003008e856402218b5e94,wash,WASH: Trap Door & Frame/Prefab RCC
60c003008e856402218b5e95,wash,WASH: Mesh Net
60c003008e856402218b5e96,wash,WASH: Cement
60c003008e856402218b5e97,wash,WASH: Wire Gauze Fly Trap
60c003008e856402218b5e98,wash,"WASH: Door Lintel (L=1,400mm & C=25 cm)"
60c003008e856402218b5e99,wash,WASH: Hygiene Kits for COVID-19
60c003008e856402218b5e9a,esnfi,ESNFI: Standard NFI Kit (16 items)
60c003008e856402218b5e9b,wash,WASH: Water Taps
60c003008e856402218b5e9c,esnfi,ESNFI: Emergency Shelter Repair Toolkit (11+2 items)
60c003008e856402218b5e9d,esnfi,ESNFI: Winterization Kit
60c003008e856402218b5e9e,esnfi,ESNFI: Multi-Purpose Cash
60c003008e856402218b5e9f,esnfi,ESNFI: Cash for NFIs
60c003008e856402218b5ea0,esnfi,ESNFI: Cash for Winterization
60c003008e856402218b5ea1,esnfi,ESNFI: Cash for Rent
60c003008e856402218b5ea2,esnfi,ESNFI: Cash for Shelter Repair
60c003008e856402218b5ea3,esnfi,ESNFI: Cash for Gas
60c003008e856402218b5ea4,esnfi,ESNFI: Axe (Iron with Wood Handle)
60c003008e856402218b5ea5,esnfi,ESNFI: Beam
60c003008e856402218b5ea6,esnfi,ESNFI: Big Spoon for Cooking
60c003008e856402218b5ea7,esnfi,ESNFI: Blankets
60c003008e856402218b5ea8,esnfi,ESNFI: Bowl
60c003008e856402218b5ea9,esnfi,ESNFI: Claw Hammer (4' Steel Magnetic Head)
60c003008e856402218b5eaa,esnfi,"ESNFI: Clothes for Children (e.g. socks, gloves, sweaters, hats)"
60c003008e856402218b5eab,esnfi,"ESNFI: Clothes for Men (e.g. socks, gloves, sweaters, hats)"
60c003008e856402218b5eac,esnfi,ESNFI: Emergency Shelter Kit (2+1 items)
60c003008e856402218b5ead,esnfi,"ESNFI: Clothes for Women (e.g. socks, gloves, sweaters, hats)"
60c003008e856402218b5eae,esnfi,ESNFI: Cooking Pot
60c003008e856402218b5eaf,esnfi,ESNFI: Family Sized Tent
60c003008e856402218b5eb0,esnfi,ESNFI: Fuel Gel
