_id,admin0pcode,cluster,cluster_id,details,remarks,stock_item_name,stock_item_type
60c003008e856402218b5e74,AF,Wash,wash,,,WASH: Emergency Latrine Slab,wash_emergency_latrine_slab
60c003008e856402218b5e75,AF,Wash,wash,,,WASH: Cloth for Water Filter,wash_cloth_water_filter
60c003008e856402218b5e76,AF,Wash,wash,,,WASH: HTH Chlorine,wash_hth_chlorine
60c003008e856402218b5e77,AF,Wash,wash,,,WASH: Hygiene Kits,wash_hygiene_kits
60c003008e856402218b5e78,AF,Wash,wash,,,WASH: Instruction on use of Chlorine Tablets (Water Kit),wash_instruction_chlorine_tablets_use
60c003008e856402218b5e79,AF,Wash,wash,,,WASH: Instruction on use of Hygiene Kit (Hygiene Kit),wash_instruction_hygiene_kit_use
60c003008e856402218b5e7a,AF,Wash,wash,,,WASH: Family Hygiene+Dignity Kit,wash_family_hygiene_dignity_kit
60c003008e856402218b5e7b,AF,Wash,wash,,,WASH: Jerrycan (20 liters),wash_jerrycan_20l
60c003008e856402218b5e7c,AF,Wash,wash,,,WASH: Jerrycan (10 liters),wash_jerrycan_10l
60c003008e856402218b5e7d,AF,Wash,wash,,,WASH: Metal Door,wash_metal_door
60c003008e856402218b5e7e,AF,Wash,wash,,,WASH: Leaflet on use of Chlorine Tablets (Dari + Pashtu),wash_leaflet_chlorine_tablets_use
60c003008e856402218b5e7f,AF,Wash,wash,,,WASH: Pump Spares (Air Pump),wash_pump_spares_air_pump
60c003008e856402218b5e80,AF,Wash,wash,,,WASH: Pump Spares (Claft on the Top of the Wall),wash_pump_spares_claft
60c003008e856402218b5e81,AF,Wash,wash,,,"WASH: Pump Spares (Clift 1"" on the Top of the Wall)",wash_pump_spares_clift
60c003008e856402218b5e82,AF,Wash,wash,,,WASH: Pump Spares (Joining Solution (Glue)),wash_pump_spares_glue
60c003008e856402218b5e83,AF,Wash,wash,,,WASH: Pump Spares (Long Pedestal Afrideve Hand pump),wash_pump_spares_long_pedestal
60c003008e856402218b5e84,AF,Wash,wash,,,WASH: Pump Spares (PAMIR Hand Pump + Cylinder and Access),wash_pump_spares_pamir_hand_pump_cylinder
60c003008e856402218b5e85,AF,Wash,wash,,,WASH: Pump Spares (PAMIR Hand Pump),wash_pump_spares_pamir_hand_pump
60c003008e856402218b5e86,AF,Wash,wash,,,WASH: Pump Spares (PVC Vent Pipe 4'),wash_pump_spares_pvc_pipe_4_inch
60c003008e856402218b5e87,AF,Wash,wash,,,WASH: Pump Spares (PVC Filter Pipe 6' Class D (26.28 KG)),wash_pump_spares_pvc_pipe_67_inch
60c003008e856402218b5e88,AF,Wash,wash,,,WASH: Pump Spares (PVC Pipe 63 MM Class E),wash_pump_spares_pvc_pipe_63_mm
60c003008e856402218b5e89,AF,Wash,wash,,,WASH: Pump Spares (Rod Center Laiser),wash_pump_spares_rod_center_laiser
60c003008e856402218b5e8a,AF,Wash,wash,,,WASH: Pump Spares (Rod),wash_pump_spares_rod_center_laiser
60c003008e856402218b5e8b,AF,Wash,wash,,,WASH: Pump Spares (Short Pedestal Afrideve Handpump),wash_pump_spares_short_pedestal
60c003008e856402218b5e8c,AF,Wash,wash,,,WASH: Soap (Hand Washing),wash_soap_hand_washing
60c003008e856402218b5e8d,AF,Wash,wash,,,WASH: Soap (Laundry),wash_soap_laundry
60c003008e856402218b5e8e,AF,Wash,wash,,,WASH: Squatting Plate (Plastic 120x80cm),wash_squatting_plate_120_80
60c003008e856402218b5e8f,AF,Wash,wash,,,WASH: Squatting Plate (Plastic 80x60cm),wash_squatting_plate_80_60
60c003008e856402218b5e90,AF,Wash,wash,,,WASH: Water Filter Cloth,wash_water_filter_cloth
60c003008e856402218b5e91,AF,Wash,wash,,,WASH: Water Kit (1 Family),wash_water_kit
60c003008e856402218b5e92,AF,Wash,wash,,,WASH: Pump Spares (Cap for Bottom of Casing),wash_pump_spares_cap
60c003008e856402218b5e93,AF,Wash,wash,,,"WASH: Metal Poles (120mm - 140mm diameter x 2,000mm length )",wash_metal_poles
60c003008e856402218b5e94,AF,Wash,wash,,,WASH: Trap Door & Frame/Prefab RCC,wash_trap_door_prefab_rcc
60c003008e856402218b5e95,AF,Wash,wash,,,WASH: Mesh Net,wash_mesh_net
60c003008e856402218b5e96,AF,Wash,wash,,,WASH: Cement,wash_cement
60c003008e856402218b5e97,AF,Wash,wash,,,WASH: Wire Gauze Fly Trap,wash_wire_gauze_fly_trap
60c003008e856402218b5e98,AF,Wash,wash,,,"WASH: Door Lintel (L=1,400mm & C=25 cm)",wash_door_lintel
60c003008e856402218b5e99,AF,Wash,wash,,,WASH: Hygiene Kits for COVID-19,wash_hygiene_kits_covid19
60c003008e856402218b5e9a,AF,ESNFI,esnfi,,,ESNFI: Standard NFI Kit (16 items),esnfi_standard_nfi_kit
60c003008e856402218b5e9b,AF,Wash,wash,,,WASH: Water Taps,wash_water_taps
60c003008e856402218b5e9c,AF,ESNFI,esnfi,,,ESNFI: Emergency Shelter Repair Toolkit (11+2 items),esnfi_emergency_shelter_repeair_toolkit
60c003008e856402218b5e9d,AF,ESNFI,esnfi,,,ESNFI: Winterization Kit,esnfi_winterization_kit
60c003008e856402218b5e9e,AF,ESNFI,esnfi,,,ESNFI: Multi-Purpose Cash,esnfi_multi_purpose_cash
60c003008e856402218b5e9f,AF,ESNFI,esnfi,,,ESNFI: Cash for NFIs,esnfi_cash_nfis
60c003008e856402218b5ea0,AF,ESNFI,esnfi,,,ESNFI: Cash for Winterization,esnfi_cash_winterization
60c003008e856402218b5ea1,AF,ESNFI,esnfi,,,ESNFI: Cash for Rent,esnfi_cash_rent
60c003008e856402218b5ea2,AF,ESNFI,esnfi,,,ESNFI: Cash for Shelter Repair,esnfi_cash_shelter_repair
60c003008e856402218b5ea3,AF,ESNFI,esnfi,,,ESNFI: Cash for Gas,esnfi_cash_voucher
60c003008e856402218b5ea4,AF,ESNFI,esnfi,,,ESNFI: Axe (Iron with Wood Handle),esnfi_axe
60c003008e856402218b5ea5,AF,ESNFI,esnfi,,,ESNFI: Beam,esnfi_beam
60c003008e856402218b5ea6,AF,ESNFI,esnfi,,,ESNFI: Big Spoon for Cooking,esnfi_big_spoon
60c003008e856402218b5ea7,AF,ESNFI,esnfi,,,ESNFI: Blankets,esnfi_blankets
60c003008e856402218b5ea8,AF,ESNFI,esnfi,,,ESNFI: Bowl,esnfi_bowl
60c003008e856402218b5ea9,AF,ESNFI,esnfi,,,ESNFI: Claw Hammer (4' Steel Magnetic Head),esnfi_hammer
60c003008e856402218b5eaa,AF,ESNFI,esnfi,,,"ESNFI: Clothes for Children (e.g. socks, gloves, sweaters, hats)",esnfi_clothes_children
