code,name
unconditional_restricted,"Unconditional, Restricted"
unconditional,Unconditional
unrestricted,Unrestricted
conditional_unrestricted,"Conditional, Unrestricted"
conditional_restricted,"Conditional, Restricted"
unconditional_unrestricted,"Unconditional, Unrestricted"
